"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"large cod",1998,1,1,25849.4678442902,0.0995454514218275,2569.06103757932
"large cod",1999,1,1,17033.3529014446,0.105960407361406,1797.25111064107
"large cod",2000,1,1,18638.8480859497,0.105379199189087,1958.78080620232
"large cod",2001,1,1,19777.1733114807,0.10525842097949,2080.99995764551
"large cod",2002,1,1,15117.9569052981,0.123901026918257,1864.15213949379
"large cod",2003,1,1,25654.9459213851,0.102230183748158,2623.67256730523
"large cod",2004,1,1,31881.9737520614,0.0891678070966342,2844.31588104009
"large cod",2005,1,1,47452.0689548615,0.0823231583892383,3911.2823318641
"large cod",2006,1,1,47013.7372842643,0.0756082930418519,3561.10235340861
"large cod",2007,1,1,28915.4630483704,0.0831389113310285,2407.92009061385
"large cod",2008,1,1,22633.0943526594,0.092100754991259,2081.58151734424
"large cod",2009,1,1,12897.9019018568,0.121640803564354,1564.4236071597
"large cod",2010,1,1,11784.6481963755,0.135888619552356,1586.76342408024
"large cod",2011,1,1,15812.532705117,0.12258312467433,1932.68939137643
"large cod",2012,1,1,14932.4830688682,0.108705976893811,1617.76821553237
"large cod",2013,1,1,19295.2255572719,0.103749804067238,1995.93898007159
"large cod",2014,1,1,22456.8785225061,0.106245297914466,2384.34549311573
"large cod",2015,1,1,27901.9855855988,0.1034292120523,2880.57926244002
"large cod",2016,1,1,37776.7014665013,0.0892287542824301,3371.94288165881
"large cod",2017,1,1,31172.1710303212,0.0867989047400398,2701.83502525649
