"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"small cod",2000,1,1,188123.190913659,0.118290647616186,21547.3896272949
"small cod",2001,1,1,427810.137628027,0.102280818013738,42459.7325456586
"small cod",2002,1,1,92436.8955753711,0.123250522618489,11008.9024423078
"small cod",2003,1,1,154146.552605367,0.110655492606262,16510.1847452135
"small cod",2004,1,1,119005.305330057,0.120186277292909,13830.127540211
"small cod",2005,1,1,140571.409301656,0.12792097273544,17380.0255164435
"small cod",2006,1,1,340763.798590569,0.100842094846012,33330.485536967
"small cod",2007,1,1,527109.258963213,0.096988816421553,49681.8423318631
"small cod",2008,1,1,258437.445891833,0.111378939315868,27926.6625387381
"small cod",2009,1,1,833126.055241996,0.0951982060865764,77115.9150624136
"small cod",2010,1,1,113388.908341454,0.139229846528629,15226.4519845288
"small cod",2011,1,1,441631.07591849,0.0998003201140722,42797.3622921302
"small cod",2012,1,1,838970.405794042,0.120565962645887,98297.952750447
"small cod",2013,1,1,198991.974792202,0.115059085969216,22209.1640041892
"small cod",2014,1,1,554662.864141767,0.120482529401617,64907.7969945915
"small cod",2015,1,1,57536.6229125044,0.144059970244055,7982.48922266866
"small cod",2016,1,1,73151.3301976264,0.161327262807016,11366.7261400008
"small cod",2017,1,1,71412.2067043906,0.152197554053151,10477.9917069554
"medium cod",1982,1,1,839574.880445812,0.0836243257585761,67373.041600216
"medium cod",1983,1,1,613992.381469598,0.0906450317694314,53047.8904332455
"medium cod",1984,1,1,852788.94267462,0.0946318023666351,76954.5872317791
"medium cod",1985,1,1,862860.461759402,0.0715804230233693,59541.4922794145
"medium cod",1986,1,1,1024960.45574064,0.0756444674660569,74752.724000712
"medium cod",1987,1,1,692982.100060073,0.0722535478981201,48264.3376533803
"medium cod",1988,1,1,395077.479672848,0.0755801171423935,28760.4074995902
"medium cod",1989,1,1,204848.756346747,0.0866821439090831,16931.8574079583
"medium cod",1990,1,1,214289.25370335,0.0851788496659564,17491.8547164031
"medium cod",1991,1,1,407501.148768927,0.0826933549261774,32404.8396395488
"medium cod",1992,1,1,632221.912302622,0.0821472459954046,49991.5500864487
"medium cod",1993,1,1,598360.598373797,0.074623963482529,43039.855755972
"medium cod",1994,1,1,868328.185751507,0.0727584760490464,61009.1125311883
"medium cod",1995,1,1,644334.279709775,0.0746882754120424,46452.4031792369
"medium cod",1996,1,1,594841.60589355,0.0769407009623548,44146.1296239161
"medium cod",1997,1,1,473012.912683191,0.0737733372056355,33654.3588189639
"medium cod",1998,1,1,646949.445388523,0.0745825236973485,46535.3262428505
"medium cod",1999,1,1,595336.467507796,0.0831579326178132,47742.7914696614
"medium cod",2000,1,1,653211.222767383,0.0732223576839377,46157.0095027649
"medium cod",2001,1,1,1200214.52931978,0.076226110420772,88303.2871914827
