Survey,Year,Cruise Join ID,Haul Join ID,Catch Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satisfactory Gear Performance,Gear Performance Note,Gear Depth,Bottom Depth,Species Code,Common Name,Scientific Name,Weight (kg),Number of Fish,Subsample Code,Voucher Taken,akfin_load_date
EBS_SHELF,2001,1063016,1063227,1071869,200101,89,178,61.98689,-173.8383,62.01211,-173.8481,82,,,,,,,,,0,Y,Good performance,62,65,21720,Pacific cod,Gadus macrocephalus,0.03,1,,,10-Oct-18
EBS_SHELF,2004,1195615,1195758,1201181,200401,88,173,59.66041,-174.4529,59.68159,-174.4303,62,,,,,,,,,0,Y,Good performance,112,114,21720,Pacific cod,Gadus macrocephalus,153.92,41,,,10-Oct-18
EBS_SHELF,2004,1195615,1195762,1201353,200401,88,178,60.32664,-174.0791,60.34263,-174.04581,43,,,,,,,,,0,Y,Good performance,88,91,21720,Pacific cod,Gadus macrocephalus,61.94,35,,,10-Oct-18
EBS_SHELF,2004,1195615,1195764,1201396,200401,88,180,60.67256,-172.13879,60.66321,-172.0938,41,,,,,,,,,0,Y,Good performance,59,62,21720,Pacific cod,Gadus macrocephalus,2.35,8,,,10-Oct-18
EBS_SHELF,2004,1195615,1195766,1201468,200401,88,183,61.00375,-172.1422,61.00059,-172.1931,41,,,,,,,,,0,Y,Good performance,61,64,21720,Pacific cod,Gadus macrocephalus,9.1,11,,,10-Oct-18
EBS_SHELF,2004,1195615,1195768,1201531,200401,88,186,61.3264,-173.6404,61.33332,-173.59,82,,,,,,,,,0,Y,Good performance,71,74,21720,Pacific cod,Gadus macrocephalus,5.48,7,,,10-Oct-18
EBS_SHELF,2004,1195615,1195776,1202585,200401,88,195,61.66846,-174.45329,61.66736,-174.4014,82,,,,,,,,,0,Y,Good performance,74,77,21720,Pacific cod,Gadus macrocephalus,1.08,1,,,10-Oct-18
EBS_SHELF,2004,1195615,1195777,1201839,200401,88,196,61.34748,-174.345,61.32416,-174.3412,82,,,,,,,,,0,Y,Good performance,74,77,21720,Pacific cod,Gadus macrocephalus,3.63,20,,,10-Oct-18
EBS_SHELF,2004,1195615,1195781,1201723,200401,88,192,61.68811,-176.4167,61.67612,-176.4413,90,,,,,,,,,0,Y,Good performance,101,104,21720,Pacific cod,Gadus macrocephalus,47.58,18,,,10-Oct-18
EBS_SHELF,2000,1010675,1010854,1016092,200001,89,167,60.32451,-175.3808,60.33569,-175.3965,61,,,,,,,,,0,Y,Good performance,108,110,21720,Pacific cod,Gadus macrocephalus,73.8,41,,,10-Oct-18
EBS_SHELF,2000,1010675,1010855,1016115,200001,89,168,60.65993,-175.4467,60.68402,-175.4631,61,,,,,,,,,0,Y,Good performance,104,107,21720,Pacific cod,Gadus macrocephalus,24.6,13,,,10-Oct-18
EBS_SHELF,2002,1117115,1117188,1121115,200201,89,69,57.67104,-165.884,57.64705,-165.892,31,,,,,,,,,0,Y,Good performance,61,64,21720,Pacific cod,Gadus macrocephalus,23.6,35,,,10-Oct-18
EBS_SHELF,2003,1159454,1159638,1164863,200301,88,184,59.34315,-172.48531,59.33255,-172.5341,43,,,,,,,,,0,Y,Good performance,86,88,21720,Pacific cod,Gadus macrocephalus,142.68,59,,,10-Oct-18
